TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-04-28,Acropora cervicornis,0,6050.9,4911.4,247.24,0.0,85.0,
1,2022-04-28,Acropora cervicornis,0,5643.2,5116.4,152.27,0.0,112.7,
2,2022-04-28,Acropora cervicornis,0,7535.9,4787.1,239.19,0.0,79.7,
3,2022-04-28,Acropora cervicornis,0,29780.8,5215.3,200.85,0.0,74.3,
4,2022-04-28,Acropora cervicornis,0,23425.0,5537.2,173.97,0.0,86.0,
5,2022-04-28,Acropora cervicornis,0,22870.9,6355.9,118.3,0.0,62.3,
6,2022-04-28,Acropora cervicornis,0,20950.6,5945.3,243.46,0.0,95.9,
7,2022-04-28,Acropora cervicornis,0,20461.5,6183.0,501.83,0.0,132.8,
8,2022-04-28,Acropora cervicornis,0,19514.9,5262.0,111.73,0.0,81.5,
9,2022-04-28,Acropora cervicornis,0,19559.2,5841.0,456.39,0.0,120.0,
10,2022-04-28,Acropora cervicornis,0,17633.7,6190.9,146.93,0.0,65.1,
11,2022-04-28,Acropora cervicornis,0,18112.3,6445.8,225.06,0.0,124.2,
12,2022-04-28,Acropora cervicornis,0,19141.4,6516.5,290.61,0.0,111.3,
13,2022-04-28,Acropora cervicornis,0,16673.7,6434.9,7.96,0.0,13.2,
14,2022-04-28,Acropora cervicornis,0,16719.5,6505.6,47.65,0.0,40.0,
15,2022-04-28,Acropora cervicornis,0,16905.6,5834.0,85.25,0.0,44.5,
16,2022-04-28,Acropora cervicornis,0,16801.0,5933.4,53.13,0.0,42.6,
17,2022-04-28,Acropora cervicornis,0,16948.9,6039.5,44.84,0.0,32.3,
18,2022-04-28,Acropora cervicornis,0,15354.0,5910.3,152.75,0.0,73.1,
19,2022-04-28,Acropora cervicornis,0,15168.5,6383.4,258.18,0.0,97.7,
20,2022-04-28,Acropora cervicornis,0,14787.8,5359.1,202.62,0.0,78.7,
21,2022-04-28,Acropora cervicornis,0,15837.3,5485.6,199.01,0.0,103.8,
22,2022-04-28,Acropora cervicornis,0,14303.3,5873.3,223.09,0.0,84.6,
23,2022-04-28,Acropora cervicornis,0,14540.7,6414.7,168.86,0.0,86.4,
24,2022-04-28,Acropora cervicornis,0,14043.2,6266.8,292.72,0.0,81.9,
25,2022-04-28,Acropora cervicornis,0,6619.8,5538.2,90.9,0.0,54.2,
26,2022-04-28,Acropora cervicornis,0,6462.8,5716.6,20.08,0.0,18.2,
27,2022-04-28,Acropora cervicornis,0,5740.4,5520.0,30.08,0.0,47.9,
28,2022-04-28,Acropora cervicornis,0,5612.6,5535.2,42.02,0.0,37.0,
29,2022-04-28,Acropora cervicornis,0,5967.9,6263.3,90.32,0.0,61.4,
30,2022-04-28,Acropora cervicornis,0,5831.4,6256.1,17.2,0.0,24.4,
31,2022-04-28,Acropora cervicornis,0,5880.5,6325.1,15.87,0.0,19.8,
32,2022-04-28,Acropora cervicornis,0,6470.3,6524.6,302.44,0.0,104.9,
33,2022-04-28,Acropora cervicornis,0,4723.0,5962.3,76.25,0.0,38.5,
34,2022-04-28,Acropora cervicornis,0,6151.9,7872.6,54.47,0.0,46.0,
35,2022-04-28,Acropora cervicornis,0,5138.0,6802.7,143.22,0.0,75.2,
36,2022-04-28,Acropora cervicornis,0,6761.9,7141.4,107.15,0.0,57.9,
37,2022-04-28,Acropora cervicornis,0,7642.1,7019.7,330.18,0.0,162.7,
38,2022-04-28,Acropora cervicornis,0,16008.6,6753.0,323.49,0.0,108.9,
39,2022-04-28,Acropora cervicornis,0,17684.7,7278.1,159.52,0.0,101.4,
40,2022-04-28,Acropora cervicornis,0,18706.3,6628.6,39.45,0.0,32.0,
41,2022-04-28,Acropora cervicornis,0,18569.6,6689.6,183.72,0.0,62.0,
42,2022-04-28,Acropora cervicornis,0,19922.9,6700.9,273.53,0.0,81.7,
43,2022-04-28,Acropora cervicornis,0,19712.1,6667.6,18.45,0.0,20.3,
44,2022-04-28,Acropora cervicornis,0,19851.4,6957.0,86.29,0.0,50.4,
45,2022-04-28,Acropora cervicornis,0,18911.9,7883.9,73.25,0.0,43.1,
46,2022-04-28,Acropora cervicornis,0,18615.6,7499.6,64.27,0.0,69.8,
47,2022-04-28,Acropora cervicornis,0,18307.2,7452.1,337.2,0.0,129.4,
48,2022-04-28,Acropora cervicornis,0,20201.7,7027.3,48.33,0.0,47.8,
49,2022-04-28,Acropora cervicornis,0,22108.2,7001.7,54.51,0.0,59.9,
50,2022-04-28,Acropora cervicornis,0,23259.1,7887.8,596.89,0.0,110.6,
51,2022-04-28,Acropora cervicornis,0,23863.9,7550.6,64.62,0.0,49.7,
52,2022-04-28,Acropora cervicornis,0,24427.5,7944.5,211.27,0.0,80.8,
53,2022-04-28,Acropora cervicornis,0,23102.1,6964.6,97.52,0.0,54.6,
54,2022-04-28,Acropora cervicornis,0,23906.4,6910.1,219.28,0.0,91.7,
55,2022-04-28,Acropora cervicornis,0,23707.0,6624.3,153.27,0.0,65.5,
56,2022-04-28,Acropora cervicornis,0,27141.9,7127.6,69.47,0.0,36.3,
57,2022-04-28,Acropora cervicornis,0,27800.5,6600.0,37.64,0.0,35.4,
58,2022-04-28,Acropora cervicornis,0,27075.1,7570.8,98.25,0.0,71.7,
59,2022-04-28,Acropora cervicornis,0,28268.3,7233.6,47.83,0.0,31.6,
60,2022-04-28,Acropora cervicornis,0,28494.0,9059.5,161.14,0.0,72.6,
61,2022-04-28,Acropora cervicornis,0,28404.9,9137.3,29.35,0.0,24.5,
62,2022-04-28,Acropora cervicornis,0,26587.3,8004.8,90.0,0.0,57.3,
63,2022-04-28,Acropora cervicornis,0,26740.2,8502.2,44.8,0.0,35.6,
64,2022-04-28,Acropora cervicornis,0,26009.2,8685.7,786.77,0.0,138.6,
65,2022-04-28,Acropora cervicornis,0,26231.5,8882.4,68.48,0.0,39.4,
66,2022-04-28,Acropora cervicornis,0,26839.8,9203.1,165.92,0.0,53.9,
67,2022-04-28,Acropora cervicornis,0,27079.2,8844.4,13.09,0.0,16.0,
68,2022-04-28,Acropora cervicornis,0,24418.7,8453.5,247.32,0.0,71.4,
69,2022-04-28,Acropora cervicornis,0,24076.8,8567.8,8.06,0.0,14.4,
70,2022-04-28,Acropora cervicornis,0,23175.7,9213.7,209.55,0.0,90.9,
71,2022-04-28,Acropora cervicornis,0,23994.7,8932.4,23.77,0.0,22.5,
72,2022-04-28,Acropora cervicornis,0,24745.9,9019.8,356.65,0.0,93.4,
73,2022-04-28,Acropora cervicornis,0,22391.0,8696.3,627.87,0.0,140.9,
74,2022-04-28,Acropora cervicornis,0,20848.2,8493.3,22.08,0.0,23.3,
75,2022-04-28,Acropora cervicornis,0,7342.5,8287.2,217.3,0.0,118.0,
76,2022-04-28,Acropora cervicornis,0,5332.3,8092.9,152.19,0.0,79.7,
77,2022-04-28,Acropora cervicornis,0,6229.3,9359.1,74.81,0.0,62.7,
78,2022-04-28,Acropora cervicornis,0,25823.1,9680.3,399.68,0.0,109.4,
79,2022-04-28,Acropora cervicornis,0,24766.5,9765.0,502.49,0.0,145.6,
80,2022-04-28,Acropora cervicornis,0,3487.4,9716.1,222.81,0.0,70.2,
